,Site_ID,Name,State,City,ARP_Latitude,ARP_Longitude,NPIAS_Category
3820,27224.*A,Grantsburg Muni,Wisconsin,Grantsburg,45.79837777777777,-92.66433055555557,Reliever
3821,27234.*A,Green Bay-Austin Straubel Intl,Wisconsin,Green Bay,44.484633333333335,-88.12971388888889,Non-Hub
3822,27248.*A,Hartford Muni,Wisconsin,Hartford,43.35004722222222,-88.39024166666667,Reliever
3823,27390.1*A,Iowa County,Wisconsin,Mineral Point,42.88688888888889,-90.23666666666666,Reliever
3824,27020.*A,John F Kennedy Meml,Wisconsin,Ashland,46.54852777777778,-90.91897222222222,Reliever
3825,27286.1*A,Kenosha Rgnl,Wisconsin,Kenosha,42.59606388888889,-87.92732500000001,Reliever
3826,27332.*A,Kings Land O' Lakes,Wisconsin,Land O' Lakes,46.15411666666667,-89.21196388888889,Reliever
3827,27304.*A,La Crosse Rgnl,Wisconsin,La Crosse,43.87927777777778,-91.25663888888889,Non-Hub
3828,27393.1*A,Lakeland/Noble F Lee Meml Fld,Wisconsin,Minocqua-Woodruff,45.92791666666666,-89.73094444444445,Reliever
3829,27327.2*A,Lancaster Muni,Wisconsin,Lancaster,42.78252777777778,-90.68108333333333,Reliever
3830,27010.*A,Langlade County,Wisconsin,Antigo,45.15395,-89.11061666666666,Reliever
3831,27386.*A,Lawrence J Timmerman,Wisconsin,Milwaukee,43.11038888888889,-88.03441666666666,Reliever
3832,27465.*A,L O Simenstad Muni,Wisconsin,Osceola,45.30934444444444,-92.69012222222223,Reliever
3833,27335.*A,Major Gilbert Fld,Wisconsin,La Pointe,46.788666666666664,-90.75872222222222,Reliever
3834,27348.*A,Manitowish Waters,Wisconsin,Manitowish Waters,46.12022777777778,-89.8822,Reliever
3835,27349.*A,Manitowoc County,Wisconsin,Manitowoc,44.12877777777778,-87.68058333333333,Reliever
3836,27356.*A,Marshfield Muni,Wisconsin,Marshfield,44.63688055555556,-90.18932777777778,Reliever
3837,27420.1*A,Mauston-New Lisbon Union,Wisconsin,New Lisbon,43.83876666666667,-90.13773333333334,Reliever
3838,27373.*A,Menomonie Muni-Score Fld,Wisconsin,Menomonie,44.89233333333333,-91.86780555555555,Reliever
3839,27379.*A,Merrill Muni,Wisconsin,Merrill,45.19891666666666,-89.71286111111111,Reliever
3840,27383.*A,Middleton Muni - Morey Fld,Wisconsin,Middleton,43.114330555555554,-89.53165,Reliever
3841,27400.1*A,Monroe Muni,Wisconsin,Monroe,42.6149,-89.59040277777777,Reliever
